yb_wl_corr,er_no_synchr,er_wl_corr,er_synch,yb_synch,yb_no_synch,yb_wl,er_wl,,
970.751459739462,-200.488008454716,1421.73915672113,-200.829809127475,-197.194815741167,-196.806418598366,978.479530208228,1444.78263060094,,
970.817525749298,-200.317540400129,1421.88946232384,-200.839740002454,-197.216791617242,-196.92681119327,978.536978912433,1444.90788526987,,
970.883599517354,-200.4377682357,1422.03979399014,-200.831979684316,-197.321338578611,-197.109982281506,978.594434362916,1445.03316165845,,
970.949681044995,-200.66881689596,1422.19015172682,-200.837512328627,-197.266643062343,-196.847806994305,978.651896560865,1445.15845977235,,
971.015770333591,-200.642427169249,1422.34053554064,-200.834874349645,-197.137171077707,-196.71697221976,978.70936550747,1445.2837796172,,
971.081867384506,-200.401881561412,1422.4909454384,-200.834842147886,-197.286646844887,-197.123664277714,978.766841203918,1445.40912119867,,
971.147972199109,-200.327097375502,1422.64138142688,-200.837886716099,-197.302585935489,-196.97623066267,978.824323651399,1445.5344845224,,
971.214084778769,-200.530796096852,1422.79184351288,-200.832364996234,-197.2109223723,-196.791140201276,978.881812851103,1445.65986959407,,
971.280205124852,-200.702482982038,1422.94233170318,-200.840427292878,-197.183344988942,-196.833200838277,978.939308804219,1445.78527641932,,
971.346333238729,-200.563366810792,1423.09284600458,-200.830635178076,-197.261397512373,-197.052670656722,978.996811511938,1445.91070500382,,
971.412469121768,-200.34036264033,1423.24338642388,-200.842043971084,-197.333926663065,-197.031229517599,979.05432097545,1446.03615535323,,
971.478612775338,-200.37713945977,1423.39395296785,-200.830016121553,-197.149633505509,-196.659568493475,979.111837195946,1446.16162747321,,
971.544764200809,-200.619984655568,1423.54454564334,-200.842498443168,-197.201091322931,-196.945586227362,979.169360174616,1446.28712136945,,
971.610923399549,-200.690265020661,1423.69516445712,-200.830623071902,-197.309282507354,-197.09801254384,979.226889912651,1446.4126370476,,
971.677090372931,-200.47259317001,1423.845809416,-200.841789921246,-197.255121188709,-196.855791095321,979.284426411244,1446.53817451333,,
971.743265122324,-200.315932696575,1423.9964805268,-200.832323804487,-197.180616725542,-196.778825420346,979.341969671586,1446.66373377233,,
971.8094476491,-200.456848093084,1424.14717779631,-200.840130833621,-197.183383426936,-196.89343883338,979.399519694869,1446.78931483026,,
971.875637954628,-200.684959160252,1424.29790123136,-200.834790353196,-197.331328901905,-197.153218745544,979.457076482285,1446.9149176928,,
971.941836040281,-200.636633284879,1424.44865083877,-200.837888030643,-197.243151136466,-196.795412335426,979.514640035027,1447.04054236564,,
972.008041907431,-200.390961699871,1424.59942662534,-200.837584409578,-197.128028858989,-196.717606274391,979.572210354288,1447.16618885445,,
972.074255557449,-200.332741207842,1424.75022859789,-200.835505768831,-197.257313785672,-197.078513349251,979.62978744126,1447.29185716491,,
972.14047699171,-200.549369412635,1424.90105676326,-200.840253068425,-197.288533122852,-196.98526233795,979.687371297139,1447.41754730272,,
972.206706211584,-200.711186303284,1425.05191112827,-200.833424980192,-197.228944488792,-196.824235344966,979.744961923116,1447.54325927356,,
972.272943218444,-200.555766656336,1425.20279169973,-200.842411636755,-197.140709828886,-196.738307526094,979.802559320386,1447.66899308311,,
972.339188013666,-200.335280133036,1425.3536984845,-200.832010005218,-197.230842685596,-197.047016160562,979.860163490144,1447.79474873708,,
972.405440598622,-200.386792549884,1425.50463148938,-200.843796842029,-197.338039733266,-197.069287553483,979.917774433584,1447.92052624115,,
972.471700974686,-200.635111833469,1425.65559072121,-200.831492099466,-197.15484758942,-196.657220299097,979.975392151901,1448.04632560101,,
972.537969143233,-200.693776252231,1425.80657618686,-200.844285690599,-197.166451603507,-196.865916945358,980.033016646289,1448.17214682238,,
972.604245105637,-200.466714099535,1425.95758789312,-200.831938739846,-197.258251529882,-197.052436930206,980.090647917945,1448.29798991093,,
972.670528863274,-200.315701740649,1426.10862584687,-200.84388733164,-197.283809975834,-196.957675037966,980.148285968064,1448.42385487239,,
972.736820417519,-200.467157045342,1426.25969005493,-200.833256188204,-197.189590608196,-196.750849857932,980.205930797842,1448.54974171244,,
972.803119769747,-200.695962866102,1426.41078052415,-200.842721856537,-197.120971069326,-196.766231188487,980.263582408475,1448.67565043679,,
972.869426921335,-200.638316029292,1426.56189726139,-200.835226287524,-197.295054670907,-197.167941122784,980.321240801161,1448.80158105116,,
972.935741873658,-200.388227946998,1426.7130402735,-200.840997009849,-197.279700714646,-196.895180933185,980.378905977094,1448.92753356125,,
973.002064628095,-200.334945424644,1426.86420956732,-200.837566973596,-197.131933551784,-196.672651945121,980.436577937474,1449.05350797277,,
973.068395186021,-200.558042122818,1427.01540514972,-200.838983725341,-197.17787698667,-196.921988443368,980.494256683496,1449.17950429143,,
973.134733548814,-200.719565702504,1427.16662702754,-200.839994871361,-197.253275645824,-197.026587189642,980.55194221636,1449.30552252295,,
973.201079717851,-200.558450043076,1427.31787520766,-200.836982793952,-197.286755237948,-196.955173991318,980.609634537262,1449.43156267305,,
973.267433694511,-200.334984855932,1427.46914969693,-200.842266914377,-197.137434794141,-196.651122055764,980.667333647401,1449.55762474744,,
973.333795480171,-200.388715142753,1427.62045050222,-200.835277191991,-197.135513110236,-196.87053015428,980.725039547975,1449.68370875185,,
973.400165076212,-200.641717499522,1427.7717776304,-200.844191212748,-197.318670243458,-197.165492250933,980.782752240184,1449.809814692,,
973.46654248401,-200.702236395165,1427.92313108833,-200.834078731295,-197.224839084647,-196.789679773332,980.840471725226,1449.93594257361,,
973.532927704946,-200.471545840442,1428.0745108829,-200.845619027431,-197.143015921507,-196.726591181056,980.898198004301,1450.06209240242,,
973.599320740399,-200.315657246972,1428.22591702097,-200.833492650623,-197.155173434412,-196.888956967715,980.955931078608,1450.18826418414,,
973.665721591749,-200.4668919255,1428.37734950942,-200.846442961448,-197.2679681263,-197.066575773176,981.013670949347,1450.31445792452,,
973.732130260377,-200.702073073637,1428.52880835514,-200.83352203601,-197.275429885017,-196.91007656548,981.071417617719,1450.44067362928,,
973.798546747662,-200.649338112734,1428.68029356499,-200.846616521563,-197.094284800814,-196.595086437044,981.129171084923,1450.56691130416,,
973.864971054987,-200.394359803371,1428.83180514587,-200.834109781742,-197.159971103236,-196.963390534742,981.186931352162,1450.69317095489,,
973.931403183729,-200.332468096471,1428.98334310466,-200.8461816836,-197.297363295602,-197.093682369042,981.244698420634,1450.81945258722,,
973.997843135275,-200.555360278352,1429.13490744827,-200.835185239284,-197.213209962698,-196.787180428322,981.302472291543,1450.94575620689,,
974.064290911004,-200.728095527201,1429.28649818356,-200.845270207735,-197.143444435725,-196.728536503472,981.36025296609,1451.07208181963,,
974.130746512298,-200.573060740086,1429.43811531744,-200.836676948448,-197.125224402035,-196.842620462132,981.418040445476,1451.1984294312,,
974.19720994054,-200.339978926184,1429.58975885681,-200.844058377819,-197.286803473318,-197.131288615945,981.475834730904,1451.32479904734,,
974.263681197113,-200.381683572282,1429.74142880855,-200.838485834322,-197.256186175114,-196.845277840857,981.533635823576,1451.45119067379,,
974.330160283401,-200.638442691036,1429.89312517958,-200.842699189259,-197.075090734071,-196.59256739015,981.591443724696,1451.57760431632,,
